Program Name,City,Country,Region,Cost
CIEE Semester Global Internship,Copenhagen,Denmark,Europe,8950
CIEE Semester in Copenhagen,Copenhagen,Denmark,Europe,14950
CIEE Summer Global Internship,Copenhagen,Denmark,Europe,6950
CIEE Sustainable Smart Cities,Copenhagen,Denmark,Europe,14950
CIEE Liberal Arts,Santiago,Dominican Republic,North America,13950
CIEE Semester in Santiago DR,Santiago,Dominican Republic,North America,13950
CIEE Summer Community Public Health,Santiago,Dominican Republic,North America,8850
CIEE January in Santiago DR,Santiago DR,Dominican Republic,North America,3950
CIEE Arts and Sciences (Queen Mary),London,England,Europe,26950
CIEE Arts and Sciences (UCL),London,England,Europe,31950
CIEE Arts and Sciences (Westminster),London,England,Europe,28450
CIEE Business and Culture,London,England,Europe,21950
"CIEE Engineering, Technology, and Sciences",London,England,Europe,21950
CIEE Fashion and Business,London,England,Europe,24950
"CIEE Fine Arts, Media and Communication",London,England,Europe,27950
CIEE January in London,London,England,Europe,4650
CIEE Open Campus Block,London,England,Europe,7450
CIEE Open Campus Block (2 Blocks),London,England,Europe,14900
CIEE Open Campus Block (3 Blocks),London,England,Europe,22350
CIEE Semester Global Internship,London,England,Europe,10950
CIEE Semester in London,London,England,Europe,21950
CIEE Semester Intern + Study Abroad,London,England,Europe,12950
CIEE Summer Global Internship,London,England,Europe,8950
CIEE Summer Intern + Study,London,England,Europe,6950
CIEE Sustainable Smart Cities,London,England,Europe,21950
CIEE Business and Technology,Tallinn,Estonia,Europe,14950
"CIEE Engineering, Technology, and Sciences",Tallinn,Estonia,Europe,14950
CIEE Semester Global Internship,Tallinn,Estonia,Europe,8950
CIEE Semester in Tallinn,Tallinn,Estonia,Europe,14950
CIEE Semester Intern + Study Abroad,Tallinn,Estonia,Europe,10950
CIEE Summer Global Internship,Tallinn,Estonia,Europe,7950
CIEE Summer Intensive Russian Lanuage,Tallinn,Estonia,Europe,6750
CIEE Summer Intern + Study,Tallinn,Estonia,Europe,4950
CIEE Sustainable Smart Cities,Tallinn,Estonia,Europe,14950
CIEE January in Paris,France,Europe,4550
CIEE Global Internship Summer,Nice,France,Europe,8950
CIEE Summer Contemporary Music Creation & Critique,Nice,France,Europe,6750
CIEE Summer Global Internship in Rennes,Nice,France,Europe,6950
CIEE Summer Global Internship in Toulouse,Nice,France,Europe,6950
CIEE Summer Intensive French Language,Nice,France,Europe,8750
CIEE Summer Intern + Study,Nice,France,Europe,6950
CIEE Summer Intern + Study Abroad in Rennes,Nice,France,Europe,5950
CIEE Summer Intern + Study Abroad in Toulouse,Nice,France,Europe,5950
CIEE Business and Culture,Paris,France,Europe,19950
"CIEE Engineering Technology, and Sciences",Paris,France,Europe,19950
CIEE Liberal Arts,Paris,France,Europe,19950
CIEE Open Campus Block,Paris,France,Europe,7450
CIEE Open Campus Block (2 Blocks),Paris,France,Europe,14900
CIEE Open Campus Block (3 Blocks),Paris,France,Europe,22350
CIEE Semester Global Internship,Paris,France,Europe,8950
CIEE Semester in Paris,Paris,France,Europe,21950
CIEE Semester in Rennes,Paris,France,Europe,19950
CIEE Semester in Toulouse,Paris,France,Europe,19950
CIEE Semester Intern + Study Abroad,Paris,France,Europe,10950
CIEE Sustainable Smart Cities,Paris,France,Europe,21950
CIEE Toulouse Language and Culture,Paris,France,Europe,19950
"CIEE Engineering, Technology, and Sciences",Berlin,Germany,Europe,19950
CIEE Global Architecture and Design,Berlin,Germany,Europe,22950
CIEE January in Berlin,Berlin,Germany,Europe,4350
CIEE Open Campus Block,Berlin,Germany,Europe,7150
CIEE Open Campus Block (2 Blocks),Berlin,Germany,Europe,14300
CIEE Open Campus Block (3 Blocks),Berlin,Germany,Europe,21450
CIEE Semester Global Internship,Berlin,Germany,Europe,10950
CIEE Semester in Berlin,Berlin,Germany,Europe,19950
CIEE Semester Intern + Study Abroad,Berlin,Germany,Europe,12950
CIEE Summer Global Internship,Berlin,Germany,Europe,8950
CIEE Summer Intern + Study,Berlin,Germany,Europe,6950
CIEE Sustainable Smart Cities,Berlin,Germany,Europe,19950
CIEE Arts + Sciences at GIMPA,Legon,Ghana,Africa,17950
CIEE Arts and Sciences,Legon,Ghana,Africa,17950
"CIEE Engineering, Technology, and Sciences",Legon,Ghana,Africa,17950
CIEE January in Legon,Legon,Ghana,Africa,4150
CIEE Semester Global Internship,Legon,Ghana,Africa,8950
CIEE Semester in Legon,Legon,Ghana,Africa,17950
CIEE Semester Intern + Study Abroad,Legon,Ghana,Africa,10950
CIEE Summer Global Internship,Legon,Ghana,Africa,6950
CIEE Summer Intern + Study,Legon,Ghana,Africa,5950
CIEE Business + Culture,Athens,Greece,Europe,16950
CIEE Ecology + Sustainability,Athens,Greece,Europe,16950
"CIEE Engineering, Technology + Sciences",Athens,Greece,Europe,16950
CIEE Open Campus Block,Athens,Greece,Europe,5250
CIEE Open Campus Block (2 Blocks),Athens,Greece,Europe,10500
CIEE Open Campus Block (3 Blocks),Athens,Greece,Europe,15750
CIEE Semester Global Internship,Athens,Greece,Europe,8950
CIEE Semester in Athens,Athens,Greece,Europe,16950
CIEE Semester Intern + Study Abroad,Athens,Greece,Europe,10950
CIEE Summer Global Internship,Athens,Greece,Europe,6950
CIEE Summer Intern + Study,Athens,Greece,Europe,5950
CIEE Dublin City University Arts and Sciences,Dublin,Ireland,Europe,17950
"CIEE Engineering, Technology, and Sciences",Dublin,Ireland,Europe,17950
CIEE January in Dublin,Dublin,Ireland,Europe,4350
CIEE Open Campus Block,Dublin,Ireland,Europe,7450
CIEE Open Campus Block (2 Blocks),Dublin,Ireland,Europe,14900
CIEE Open Campus Block (3 Blocks),Dublin,Ireland,Europe,22350
CIEE Semester Global Internship,Dublin,Ireland,Europe,10950
CIEE Semester in Dublin,Dublin,Ireland,Europe,17950
CIEE Semester Intern + Study Abroad,Dublin,Ireland,Europe,12950
CIEE Summer Global Internship,Dublin,Ireland,Europe,7950
CIEE Summer Intern + Study,Dublin,Ireland,Europe,6950
CIEE Trinity College Arts and Sciences,Dublin,Ireland,Europe,27950
CIEE University College Dublin Arts and Sciences,Dublin,Ireland,Europe,24950
"CIEE Arts, Architecture, and Design",Florence,Italy,Europe,19950
CIEE Business & Culture,Florence,Italy,Europe,21950
"CIEE Engineering, Technology, and Sciences",Florence,Italy,Europe,21950
"CIEE Fashion, Retail & Innovation",Florence,Italy,Europe,18950
CIEE Florence Semester Short,Florence,Italy,Europe,18950
CIEE January in Florence,Florence,Italy,Europe,4450
CIEE January in Milan,Florence,Italy,Europe,4450
CIEE January in Rome,Florence,Italy,Europe,4650
CIEE Open Campus Block,Florence,Italy,Europe,7450
CIEE Open Campus Block (2 Blocks),Florence,Italy,Europe,14900
CIEE Open Campus Block (3 Blocks),Florence,Italy,Europe,22350
CIEE Semester in Florence,Florence,Italy,Europe,19950
CIEE Semester in Milan,Florence,Italy,Europe,18950
CIEE Semester in Rome,Florence,Italy,Europe,21950
CIEE Semester Intern + Study Abroad,Florence,Italy,Europe,12950
CIEE Summer Global Internship,Florence,Italy,Europe,8950
CIEE Summer Intern + Study,Florence,Italy,Europe,6950
CIEE Sustainable Smart Cities,Florence,Italy,Europe,21950
CIEE Ancient and Modern Japan,Kyoto,Japan,Asia,14500
CIEE Arts and Sciences,Kyoto,Japan,Asia,27850
"CIEE Engineering, Technology, and Sciences",Kyoto,Japan,Asia,19950
CIEE January in Kyoto,Kyoto,Japan,Asia,4450
CIEE January in Tokyo,Kyoto,Japan,Asia,4450
CIEE Open Campus Block,Kyoto,Japan,Asia,7150
CIEE Open Campus Block (2 Blocks),Kyoto,Japan,Asia,14300
CIEE Open Campus Block (3 Blocks),Kyoto,Japan,Asia,21450
CIEE Semester Global Internship,Kyoto,Japan,Asia,10950
CIEE Semester in Kyoto,Kyoto,Japan,Asia,14950
CIEE Semester in Tokyo,Kyoto,Japan,Asia,19950
CIEE Semester Intern + Study Abroad,Kyoto,Japan,Asia,12950
CIEE Summer Global Internship,Kyoto,Japan,Asia,8950
CIEE Summer Global Internship in Kyoto,Kyoto,Japan,Asia,8950
CIEE Summer in Tokyo at Sophia University,Kyoto,Japan,Asia,5750
CIEE Summer Intern + Study Abroad in Kyoto,Kyoto,Japan,Asia,6950
CIEE Summer Intern + Study Abroad in Tokyo,Kyoto,Japan,Asia,6950
CIEE Summer Japanese Studies,Kyoto,Japan,Asia,8750
CIEE Sustainable Smart Cities,Kyoto,Japan,Asia,19950
CIEE Advanced Arabic Language,Amman,Jordan,Middle East,17950
CIEE Semester Global Internship,Amman,Jordan,Middle East,8950
CIEE Semester in Amman,Amman,Jordan,Middle East,17950
CIEE Semester Intern + Study Abroad,Amman,Jordan,Middle East,10950
CIEE Summer Arabic Language,Amman,Jordan,Middle East,8750
CIEE Summer Intern + Study,Amman,Jordan,Middle East,5950
CIEE Arts + Sciences,Merida,Mexico,North America,14950
CIEE Ecology + Sustainability,Merida,Mexico,North America,9950
"CIEE Engineering, Technology, and Sciences",Merida,Mexico,North America,9950
CIEE January in Merida,Merida,Mexico,North America,2950
CIEE Liberal Arts (UADY),Merida,Mexico,North America,14950
CIEE Open Campus Block,Merida,Mexico,North America,3250
CIEE Open Campus Block (2 Blocks),Merida,Mexico,North America,6500
CIEE Open Campus Block (3 Blocks),Merida,Mexico,North America,9750
CIEE Semester Global Internship,Merida,Mexico,North America,6950
CIEE Semester in Yucatan,Merida,Mexico,North America,9950
CIEE Semester Intern + Study Abroad,Merida,Mexico,North America,6950
CIEE Summer Global Internship,Merida,Mexico,North America,3950
CIEE Summer Intern + Study,Merida,Mexico,North America,3950
"CIEE Engineering, Technology, and Sciences",Yucatan,Mexico,North America,9950
CIEE Liberal Arts,Yucatan,Mexico,North America,9950
CIEE Open Campus Block,Yucatan,Mexico,North America,3250
CIEE Open Campus Block (2 Blocks),Yucatan,Mexico,North America,6500
CIEE Open Campus Block (3 Blocks),Yucatan,Mexico,North America,9750
CIEE Semester Global Internship,Yucatan,Mexico,North America,6950
CIEE Semester in Yucatan,Yucatan,Mexico,North America,9950
CIEE Semester Intern + Study Abroad,Yucatan,Mexico,North America,6950
CIEE Language and Culture,Rabat,Morocco,Africa,17950
CIEE Semester Global Internship,Rabat,Morocco,Africa,8950
CIEE Semester in Rabat,Rabat,Morocco,Africa,17950
CIEE Semester Intern + Study Abroad,Rabat,Morocco,Africa,10950
CIEE Summer Arabic Language,Rabat,Morocco,Africa,8750
CIEE Summer Global Internship in Rabat,Rabat,Morocco,Africa,6950
CIEE Summer Intern + Study Abroad in Rabat,Rabat,Morocco,Africa,5950
CIEE Business and Culture,Amsterdam,Netherlands,Europe,24950
"CIEE Engineering, Technology, and Sciences",Amsterdam,Netherlands,Europe,14500
CIEE January in Amsterdam,Amsterdam,Netherlands,Europe,4550
CIEE Open Campus Block,Amsterdam,Netherlands,Europe,7450
CIEE Open Campus Block (2 Blocks),Amsterdam,Netherlands,Europe,14900
CIEE Semester in Amsterdam,Amsterdam,Netherlands,Europe,14500
CIEE Social Sciences and Humanities,Amsterdam,Netherlands,Europe,24950
CIEE Sustainable Smart Cities,Amsterdam,Netherlands,Europe,14500
CIEE Arts and Sciences,Auckland,New Zealand,Australia/Pacific Islands,21950
CIEE Ecology + Sustainability,Auckland,New Zealand,Australia/Pacific Islands,19950
"CIEE Engineering, Technology, and Sciences",Auckland,New Zealand,Australia/Pacific Islands,19950
CIEE January in Auckland,Auckland,New Zealand,Australia/Pacific Islands,4250
CIEE Semester Global Internship,Auckland,New Zealand,Australia/Pacific Islands,8950
CIEE Semester in Auckland,Auckland,New Zealand,Australia/Pacific Islands,19950
CIEE Semester Intern + Study Abroad,Auckland,New Zealand,Australia/Pacific Islands,10950
CIEE Business and Culture,Lisbon,Portugal,Europe,19950
CIEE Ecology + Sustainability,Lisbon,Portugal,Europe,19950
"CIEE Engineering, Technology, and Sciences",Lisbon,Portugal,Europe,19950
CIEE January in Lisbon,Lisbon,Portugal,Europe,4150
CIEE Language and Culture,Lisbon,Portugal,Europe,19950
CIEE Lisbon Summer Global Internship,Lisbon,Portugal,Europe,6950
CIEE Semester Global Internship,Lisbon,Portugal,Europe,8950
CIEE Semester in Lisbon,Lisbon,Portugal,Europe,19950
CIEE Semester Intern + Study Abroad,Lisbon,Portugal,Europe,10950
CIEE Summer Intern + Study,Lisbon,Portugal,Europe,5950
CIEE Business + Culture,San Juan,Puerto Rico,South America,9950
CIEE Ecology + Sustainability,San Juan,Puerto Rico,South America,9950
"CIEE Engineering, Technology + Sciences",San Juan,Puerto Rico,South America,9950
CIEE Liberal Arts,San Juan,Puerto Rico,South America,14950
CIEE Semester Global Internship,San Juan,Puerto Rico,South America,6950
CIEE Semester in San Juan,San Juan,Puerto Rico,South America,9950
CIEE Semester Intern + Study Abroad,San Juan,Puerto Rico,South America,8950
CIEE Summer Global Internship,San Juan,Puerto Rico,South America,4950
CIEE Summer Intern + Study,San Juan,Puerto Rico,South America,4950
CIEE Arts and Sciences,Edinburgh,Scotland,Europe,19950
"CIEE Engineering, Technology, and Sciences",Edinburgh,Scotland,Europe,19950
CIEE January in Edinburgh,Edinburgh,Scotland,Europe,4350
CIEE Semester Global Internship,Edinburgh,Scotland,Europe,8950
CIEE Semester in Edinburgh,Edinburgh,Scotland,Europe,19950
CIEE Semester in Glasgow,Edinburgh,Scotland,Europe,19950
CIEE Summer Global Internship,Edinburgh,Scotland,Europe,6950
"CIEE Engineering, Technology, and Sciences",Singapore,Singapore,Asia,21950
CIEE January in Singapore,Singapore,Singapore,Asia,4550
CIEE Open Campus Block,Singapore,Singapore,Asia,7450
CIEE Open Campus Block (2 Blocks),Singapore,Singapore,Asia,14900
CIEE Open Campus Block (3 Blocks),Singapore,Singapore,Asia,22350
CIEE Semester Global Internship,Singapore,Singapore,Asia,10950
CIEE Semester in Singapore,Singapore,Singapore,Asia,21950
CIEE Semester Intern + Study Abroad,Singapore,Singapore,Asia,12950
CIEE Singapore Arts & Sciences,Singapore,Singapore,Asia,27950
CIEE Summer Global Internship,Singapore,Singapore,Asia,8950
CIEE Summer Intern + Study,Singapore,Singapore,Asia,6950
CIEE Sustainable Smart Cities,Singapore,Singapore,Asia,21950
CIEE Arts and Sciences,Cape Town,South Africa,Africa,20950
CIEE Ecology + Sustainability,Cape Town,South Africa,Africa,20950
"CIEE Engineering, Technology, and Sciences",Cape Town,South Africa,Africa,20950
CIEE January in Cape Town,Cape Town,South Africa,Africa,4150
CIEE Open Campus Block,Cape Town,South Africa,Africa,7150
CIEE Open Campus Block (2 Blocks),Cape Town,South Africa,Africa,14300
CIEE Open Campus Block (3 Blocks),Cape Town,South Africa,Africa,21450
CIEE Semester Global Internship,Cape Town,South Africa,Africa,8950
CIEE Semester in Cape Town,Cape Town,South Africa,Africa,20950
CIEE Semester Intern + Study Abroad,Cape Town,South Africa,Africa,10950
CIEE Summer Community Development and Social Justice: Theory and Practice,Cape Town,South Africa,Africa,8750
CIEE Summer Global Internship,Cape Town,South Africa,Africa,6950
CIEE Summer Intern + Study,Cape Town,South Africa,Africa,5950
CIEE Sustainable Smart Cities,Cape Town,South Africa,Africa,20950
CIEE Arts and Sciences at Hanyang University,Seoul,South Korea,Asia,18950
CIEE Arts and Sciences at Yonsei University,Seoul,South Korea,Asia,18950
"CIEE Engineering, Technology, and Sciences",Seoul,South Korea,Asia,18950
CIEE January in Seoul,Seoul,South Korea,Asia,4150
CIEE Open Campus Block,Seoul,South Korea,Asia,5500
CIEE Open Campus Block (2 Blocks),Seoul,South Korea,Asia,11000
CIEE Semester Global Internship,Seoul,South Korea,Asia,10950
CIEE Semester in Seoul,Seoul,South Korea,Asia,18950
CIEE Semester Intern + Study Abroad,Seoul,South Korea,Asia,12950
CIEE Summer Global Internship,Seoul,South Korea,Asia,7950
CIEE Summer Intern + Study,Seoul,South Korea,Asia,6950
CIEE Summer Korean Studies,Seoul,South Korea,Asia,8750
CIEE Sustainable Smart Cities,Seoul,South Korea,Asia,18950
CIEE Summer Global Internship,Alcala,Spain,Europe,7950
CIEE Summer Global Internship in Alicante,Alcala,Spain,Europe,6950
CIEE Summer Global Internship Language Immersive,Alcala,Spain,Europe,8950
CIEE Summer Intensive Spanish Language,Alcala,Spain,Europe,8750
CIEE Summer Intern + Study,Alcala,Spain,Europe,6950
CIEE Summer Intern + Study Abroad in Alicante,Alcala,Spain,Europe,5950
CIEE Advanced Liberal Arts,Alicante,Spain,Europe,19950
CIEE Business and Culture,Alicante,Spain,Europe,21950
CIEE Business and Society,Alicante,Spain,Europe,19950
"CIEE Communications, New Media and Journalism English",Alicante,Spain,Europe,19950
"CIEE Communications, New Media and Journalism Spanish",Alicante,Spain,Europe,19950
CIEE Ecology + Sustainability,Alicante,Spain,Europe,18950
CIEE Economics and Culture,Alicante,Spain,Europe,21950
"CIEE Engineering, Technology, and Sciences",Alicante,Spain,Europe,19950
CIEE Global Architecture and Design,Alicante,Spain,Europe,21950
CIEE International Business and Culture,Alicante,Spain,Europe,19950
CIEE January in Alicante,Alicante,Spain,Europe,4150
CIEE January in Barcelona,Alicante,Spain,Europe,4350
CIEE January in Madrid,Alicante,Spain,Europe,4450
CIEE January in Palma,Alicante,Spain,Europe,4150
CIEE January in Seville,Alicante,Spain,Europe,4150
CIEE Language and Culture,Alicante,Spain,Europe,21950
CIEE Liberal Arts,Alicante,Spain,Europe,19950
CIEE Open Campus Block,Alicante,Spain,Europe,7450
CIEE Open Campus Block (2 Blocks),Alicante,Spain,Europe,14900
CIEE Open Campus Block (3 Blocks),Alicante,Spain,Europe,22350
CIEE Psychology & Health Sciences,Alicante,Spain,Europe,19950
CIEE Semester Global Internship,Alicante,Spain,Europe,10950
CIEE Semester in Barcelona,Alicante,Spain,Europe,21950
CIEE Semester in Madrid,Alicante,Spain,Europe,21950
CIEE Semester in Palma,Alicante,Spain,Europe,16950
CIEE Semester in Seville,Alicante,Spain,Europe,19950
CIEE Semester Intern + Study Abroad,Alicante,Spain,Europe,12950
CIEE Semster in Alicante,Alicante,Spain,Europe,16950
CIEE Sustainable Smart Cities,Alicante,Spain,Europe,21950
CIEE Chinese Language & Asian Studies,Taipei,Taiwan,Asia,20950
"CIEE Engineering, Technology, and Sciences",Taipei,Taiwan,Asia,19950
CIEE January in Taipei,Taipei,Taiwan,Asia,3950
CIEE Semester Global Internship,Taipei,Taiwan,Asia,8950
CIEE Semester in Taipei,Taipei,Taiwan,Asia,19950
CIEE Semester Intern + Study Abroad,Taipei,Taiwan,Asia,10950
CIEE Summer Accelerated Chinese Language,Taipei,Taiwan,Asia,8750
CIEE Summer Global Internship,Taipei,Taiwan,Asia,6950
CIEE Summer Intern + Study,Taipei,Taiwan,Asia,4950
CIEE Arts + Sciences at ADU,Abu Dhabi,United Arab Emirates,Middle East,19950
CIEE Arts + Sciences at Khalifa,Abu Dhabi,United Arab Emirates,Middle East,19950
CIEE Business + Culture,Abu Dhabi,United Arab Emirates,Middle East,15950
"CIEE Engineering, Technology + Sciences",Abu Dhabi,United Arab Emirates,Middle East,15950
CIEE Semester Global Internship,Abu Dhabi,United Arab Emirates,Middle East,8950
CIEE Semester in Abu Dhabi,Abu Dhabi,United Arab Emirates,Middle East,15950
CIEE Semester Intern + Study Abroad,Abu Dhabi,United Arab Emirates,Middle East,10950
CIEE Summer Global Internship,Abu Dhabi,United Arab Emirates,Middle East,6950
CIEE Summer Intern + Study,Abu Dhabi,United Arab Emirates,Middle East,6950
CIEE Sustainable Smart Cities,Abu Dhabi,United Arab Emirates,Middle East,15950




